track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,release_date
Chemical,"POST MALONE",1,2528,39,172825906,56,91,59,3,486,D,2023-04-14
Cheques,SHUBH,1,67,8,47956378,7,10,0,0,57,E,2023-05-19
"CHORRITO PA LAS ANIMAS",FEID,1,2321,36,345031710,29,65,34,5,3,G#,2022-12-02
"Christmas (Baby Please Come Home)","DARLENE LOVE",1,9122,0,242767149,121,58,212,0,0,D#,1963-11-22
"Christmas Tree",V,1,509,9,317622165,8,106,6,0,8,F,2021-12-24
C,"RAUW ALEJANDRO",1,2636,3,465959382,36,82,39,0,5,A,2021-06-25
"cmo dormi","RELS B",1,1452,35,331511413,16,15,20,0,0,C#,2022-08-04
Cigarettes,"JUICE WRLD",1,975,0,185408548,11,0,10,0,0,D,2021-12-10
Cinema,"HARRY STYLES",1,2171,0,189236868,18,1,28,0,0,A,2022-05-20
Circles,"POST MALONE",1,19664,16,2132335812,391,73,633,3,37,NULL,2019-08-30
"Circo Loco","DRAKE, 21 SAVAGE",2,1794,0,141720999,26,9,17,0,3,C#,2022-11-04
"City of Gods","KANYE WEST, ALICIA KEYS, FIVIO FOREIGN",3,2096,0,107255472,34,3,30,0,0,G#,2022-02-11
"Classy 101","FEID, YOUNG MIKO",2,2610,40,335222234,43,100,54,14,187,B,2023-03-31
"Coco Chanel","BAD BUNNY, ELADIO CARRION",2,1962,38,250305248,28,89,29,5,82,D,2023-03-17
Columbia,QUEVEDO,1,714,43,58149378,25,89,30,13,194,F,2023-07-07
"Come Back Home  From Purple Hearts","SOFIA CARSON",1,367,0,97610446,28,67,195,0,0,G,2022-07-12
"Con La Brisa","LUDWIG GORANSSON, FOUDEQUSH",2,486,0,71095708,8,1,7,0,0,D,2022-11-04
Conceited,SZA,1,899,0,56870689,2,14,2,0,0,C#,2022-12-09
"Conexes de Mfia (feat Rich","RICH THE KID, MATU",2,385,4,77233241,17,7,41,1,29,F#,2023-04-30
Contection,"GODZZ, ZAKARIA",2,6955,0,1180896317,65,45,398,0,1,A#,2020-01-16
"Cool for the Summer","DEMI LOVATO",1,9243,0,677389855,155,5,577,0,6,F,2015-01-01
"Cooped Up (with Roddy Ricch)","POST MALONE, RODDY RICCH",2,2942,0,271666301,42,28,43,0,0,NULL,2022-05-12
"CORAZN VA","MARIA BECERRA",1,370,20,43857627,12,16,18,4,93,C#,2023-06-22
"Count Me Out","KENDRICK LAMAR",1,2729,0,126191104,3,7,13,0,1,G,2022-05-13
"Crazy What Love Can Do","DAVID GUETTA, ELLA HENDERSON, BECKY HILL",3,5290,0,286739476,139,73,142,0,5,E,2022-03-18
Creepin,"THE WEEKND, 21 SAVAGE, METRO BOOMIN",3,6036,88,843957510,113,149,245,23,27,C#,2022-12-02
Crown,"KENDRICK LAMAR",1,1493,0,42485571,2,0,10,0,0,C#,2022-05-13
"Cruel Summer","TAYLOR SWIFT",1,7858,100,800840817,116,207,125,12,548,A,2019-08-23
"CUFF IT",BEYONC,1,7842,10,595900742,215,88,330,26,23,G,2022-07-29
Cupid,"FIFTY FIFTY",1,526,10,139681964,15,93,30,0,320,D,2023-02-24
"Cupid  Twin Ver","FIFTY FIFTY",1,2942,77,496795686,91,212,78,6,0,B,2023-02-24
"Cupid  Twin Ver (FIFTY FIFTY)  Spe","SPED UP 8282",1,472,2,103762518,0,0,6,0,0,F,1997-01-01
Cupido,TINI,1,1240,24,217672943,51,29,63,4,54,A,2023-02-14
Curtains,"ED SHEERAN",1,715,0,39893489,37,3,27,0,50,F#,2023-05-05
"Daddy Issues","THE NEIGHBOURHOOD",1,9771,4,1127468248,42,70,384,0,3,A#,2015-10-30
Dakiti,"BAD BUNNY, JHAY CORTEZ",2,11215,21,1763363713,189,166,525,9,25,E,2020-10-30
"DANCE CRIP",TRUENO,1,731,0,198883004,14,14,24,0,4,NULL,2021-11-17
"Dance The Night (From Barbie The Album)","DUA LIPA",1,2988,101,127408954,0,0,143,38,0,B,2023-05-25
