track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,release_date
"Hot Shit (feat Ye  Lil Durk)","KANYE WEST, LIL DURK, CARDI B",3,1601,0,85924992,11,0,2,0,0,A,2022-07-01
"House Of Memories","PANIC AT THE DISCO",1,2948,0,582863434,10,2,150,0,0,B,2016-01-15
"How Do I Make You Love Me?","THE WEEKND",1,1915,0,119238316,7,47,15,0,0,G,2022-01-07
"How Do I Say Goodbye","DEAN LEWIS",1,2163,15,284785823,72,97,58,0,154,G#,2022-08-05
"Hrs and Hrs","MUNI LONG",1,1800,0,181328253,43,36,46,13,4,G#,2021-11-19
"Hummingbird (Metro Boomin  James Blake)","JAMES BLAKE, METRO BOOMIN",2,277,1,39666245,1,20,5,0,1,F#,2023-06-02
"Hype Boy",NEWJEANS,1,892,17,363472647,20,119,12,2,7,E,2022-08-01
"I Aint Worried",ONEREPUBLIC,1,8431,76,1085685420,241,127,458,37,332,NULL,2022-05-13
"I AM",IVE,1,366,15,123132751,16,102,7,0,55,E,2023-04-10
"I AM WOMAN","EMMY MELI",1,2795,0,225259194,45,0,107,0,0,A#,2021-11-18
"I Can See You (Taylors Version) (From The Vault)","TAYLOR SWIFT",1,516,38,52135248,73,119,42,1,150,F#,2023-07-07
"I Hate U",SZA,1,4094,0,356709897,66,96,43,0,0,G,2021-12-03
"I Heard Youre Married (feat Lil Wayne)","THE WEEKND, LIL WAYNE",2,1178,0,91656026,9,10,9,0,0,D,2022-01-07
"I Know  PR1SVX Edit","KANII, PR1ISVX",2,407,0,77377503,16,15,5,0,1,B,2023-03-24
"I Like You (A Happier Song) (with Doja Cat)","POST MALONE, DOJA CAT",2,5281,14,609293408,94,21,80,15,38,F,2022-06-03
"I Love You So","THE WALTERS",1,7536,7,972164968,44,19,135,0,6,A#,2014-11-28
"I Tried to Tell Yall","UGLY DRAY, TESLA JNR",2,1657,0,121077868,15,3,3,0,0,B,2022-05-06
"I WANNA BE YOUR SLAVE",MNE,1,4873,0,851070493,65,88,434,3,13,C#,2021-03-19
"I Wanna Be Yours","ARCTIC MONKEYS",1,12859,110,1297026226,24,98,582,2,73,NULL,2013-01-01
"I Was Never There","THE WEEKND, GESAFFELSTEIN",2,4188,15,705469769,30,70,142,0,27,A#,2018-03-29
"I Wrote The Book","MORGAN WALLEN",1,430,0,83021468,15,17,0,0,0,D,2023-01-31
"Im Good (Blue)","BEBE REXHA, DAVID GUETTA",2,12482,80,1109433169,291,184,537,45,727,G,2022-08-26
"Im Not Here To Make Friends","SAM SMITH, CALVIN HARRIS, JESSIE REYEZ",3,1890,0,103787664,86,1,49,0,9,NULL,2023-01-27
"Im Tired  From Euphoria An Original HBO Series",LABRINTH,1,1888,0,121913181,26,1,58,0,0,NULL,2022-02-04
"IDGAF (with blackbear)","BLACKBEAR, BOYWITHUKE",2,625,0,197643795,10,2,13,0,1,F,2022-03-18
"If We Ever Broke Up","MAE STEPHENS",1,2040,4,165584767,81,27,66,9,444,G,2023-02-10
"Igualito a Mi Ap","FUERZA REGIDA, PESO PLUMA",2,265,6,158950978,8,84,5,1,4,E,2022-12-30
"In My Head","LIL TJAY",1,1185,0,190981339,21,0,31,0,0,C#,2022-04-01
"In The Stars","BENSON BOONE",1,2224,8,382199619,48,40,87,1,210,A#,2022-04-29
Infinity,"JAYMES YOUNG",1,4375,0,888046992,24,0,396,0,0,B,2017-06-23
Iris,"THE GOO GOO DOLLS",1,13101,9,1284942608,137,5,582,0,0,B,1998-03-31
"Is There Someone Else?","THE WEEKND",1,2881,6,391251368,13,89,34,0,3,A,2022-01-07
"Itll Be Okay","SHAWN MENDES",1,1950,0,287201015,56,8,104,0,10,G,2021-12-01
"Its Beginning To Look A Lot Like Christmas","MICHAEL BUBL",1,12353,0,807561936,35,0,549,0,0,E,2011-10-14
"Its Beginning to Look a Lot Like Christmas (with Mitchell Ayres  His Orchestra)","PERRY COMO, THE FONTANE SISTERS, MITCHELL AYRES  HIS ORCHESTRA",3,6290,0,295998468,89,39,158,0,0,G,1958-01-01
"Its the Most Wonderful Time of the Year","ANDY WILLIAMS",1,8879,0,663832097,182,107,160,0,1,G,1963-10-14
"jealousy jealousy","OLIVIA RODRIGO",1,3257,0,665765558,10,0,70,0,0,A#,2021-05-21
JGL,"LUIS R CONRIQUEZ, LA ADICTIVA",2,782,9,323455692,15,33,6,1,0,G#,2022-02-18
"Jhoome Jo Pathaan","ARIJIT SINGH, VISHAL DADLANI, SUKRITI KAKAR, VISHALSHEKHAR, SHEKHAR RAVJIANI, KUMAAR",6,138,4,1365184,13,78,2,0,0,G,2022-12-22
"Jimmy Cooks (feat 21 Savage)","DRAKE, 21 SAVAGE",2,5871,27,618885532,81,121,58,1,34,NULL,2022-06-17
"Jingle Bells  Remastered 1999","FRANK SINATRA",1,4326,0,178660459,32,3,65,0,0,G#,1957-01-01
Jordan,"RYAN CASTRO",1,2844,2,394030335,29,2,35,1,0,A#,2021-04-30
"Just Wanna Rock","LIL UZI VERT",1,3995,13,457184829,72,27,47,0,0,B,2022-10-17
"Kahani Suno 20","KAIFI KHALIL",1,162,6,156777415,1,10,1,0,1,B,2022-05-31
Karma,"TAYLOR SWIFT",1,3818,23,404562836,37,55,32,0,272,G#,2022-10-21
"Karma (feat Ice Spice)","TAYLOR SWIFT, ICE SPICE",2,588,0,46142772,23,21,31,0,0,G#,2023-05-26
"Keep Driving","HARRY STYLES",1,2094,1,236060709,8,1,18,0,0,A,2022-05-20
"Kesariya (From Brahmastra)","PRITAM, ARIJIT SINGH, AMITABH BHATTACHARYA",3,292,6,366599607,26,98,4,0,0,NULL,2022-07-17
"KICK BACK","KENSHI YONEZU",1,574,4,210038833,38,101,26,0,0,C#,2022-10-12
"Kill Bill",SZA,1,8109,77,1163093654,183,162,161,12,187,G#,2022-12-08
"Kiss Me More (feat SZA)","SZA, DOJA CAT",2,15867,0,1575467011,382,65,497,0,12,G#,2021-04-09
"Knife Talk (with 21 Savage ft Project Pat)","DRAKE, PROJECT PAT, 21 SAVAGE",3,5199,0,594482982,45,43,45,0,3,F,2021-09-03
Komang,"RAIM LAODE",1,158,4,137123880,5,6,1,1,18,G,2022-08-16
"KU LO SA  A COLORS SHOW",OXLADE,1,2019,8,222410722,117,72,107,1,7,A#,2022-06-10
"La Bachata","MANUEL TURIZO",1,6804,45,1214083358,139,111,161,15,210,G,2022-05-26
"La Bebe","YNG LVCAS",1,489,17,191945597,4,11,5,1,2,D,2021-12-24
"La Bebe  Remix","PESO PLUMA, YNG LVCAS",2,2953,44,553634067,49,110,66,13,339,D,2023-03-17
"LA CANCI","J BALVIN, BAD BUNNY",2,6398,31,1435127549,177,109,305,3,5,G,2019-06-28
"La Corriente","TONY DIZE, BAD BUNNY",2,1796,8,479655659,8,25,18,1,0,B,2022-05-06
"LA FAMA (with The Weeknd)","THE WEEKND, ROSAL",2,4640,3,374706940,81,93,507,6,4,NULL,2021-11-11
"LA INOCENTE","FEID, MORA",2,2598,37,477033549,28,57,43,8,85,F,2022-04-01
"La Jumpa","ARCANGEL, BAD BUNNY",2,3794,34,538115192,47,77,53,10,8,G#,2022-11-30
"La Llevo Al Cielo (Ft engo F","NENGO FLOW, ANUEL AA, CHRIS JEDI, CHENCHO CORLEONE",4,3559,3,333146475,36,1,31,0,1,A,2022-05-20
"La Loto","ANITTA, TINI, BECKY G",3,945,0,121189256,49,3,57,0,0,C#,2022-07-06
"La Santa","DADDY YANKEE, BAD BUNNY",2,4890,20,759208783,52,42,100,0,0,C#,2020-02-29
"La Zona","BAD BUNNY",1,1188,0,312622938,13,1,15,0,1,C#,2020-02-29
Labyrinth,"TAYLOR SWIFT",1,1597,0,187339835,6,3,15,0,0,NULL,2022-10-21
"LADY GAGA","GABITO BALLESTEROS, JUNIOR H, PESO PLUMA",3,332,26,86444842,11,163,10,4,0,F,2023-06-22
"Lady Mi Amor",FEID,1,330,0,53987404,3,0,2,0,0,D,2022-09-13
LAGUNAS,"JASIEL NUEZ, PESO P",2,58,18,39058561,2,106,4,2,184,B,2023-06-22
LALA,"MYKE TOWERS",1,1474,48,133716286,48,126,58,14,382,C#,2023-03-23
"Las Morras","BLESSD, PESO PLUMA",2,291,8,127026613,8,78,4,1,1,A,2023-04-04
"Last Last","BURNA BOY",1,4526,12,293466523,156,275,150,3,128,D#,2022-05-12
"Last Night","MORGAN WALLEN",1,2420,19,429829812,52,107,15,1,325,F#,2023-01-31
"Late Night Talking","HARRY STYLES",1,7461,8,743693613,166,42,199,16,58,A#,2022-05-20
"Lavender Haze","TAYLOR SWIFT",1,3763,8,488386797,51,43,38,10,1,A#,2022-10-21
Layla,"SCHRZE, DJ R",2,832,3,130419412,18,124,24,1,0,F,2022-03-24
"Leave Before You Love Me (with Jonas Brothers)","MARSHMELLO, JONAS BROTHERS",2,4893,4,651732901,143,24,110,0,70,G,2021-04-28
"Leave The Door Open","BRUNO MARS, ANDERSON PAAK, SILK SONIC",3,14417,0,1115880852,237,123,569,0,10,F,2021-03-05
"Left and Right (Feat Jung Kook of BTS)","CHARLIE PUTH, BTS, JUNG KOOK",3,3107,39,720434240,38,0,4,0,0,D,2022-06-24
Le,"MARLIA MENDO",1,993,4,267789608,30,84,88,1,28,F#,2022-12-09
"Less Than Zero","THE WEEKND",1,2800,0,200660871,18,77,61,0,1,NULL,2022-01-07
"LET GO","CENTRAL CEE",1,2301,20,298063749,49,23,110,0,8,D,2022-12-15
"Let It Snow Let It Snow Let It Snow","DEAN MARTIN",1,6512,0,446390129,88,1,277,0,0,C#,1959-11-16
"Let It Snow Let It Snow Let It Snow","FRANK SINATRA, B SWANSON QUARTET",2,10585,0,473248298,126,108,406,0,0,D,1950-01-01
"Let Me Down Slowly","ALEC BENJAMIN",1,5897,19,1374581173,0,0,885,0,0,C#,2018-05-25
Levitating,"DUA LIPA",1,9833,0,797196073,233,82,531,1,1,F#,2020-03-27
"Levitating (feat DaBaby)","DUA LIPA, DABABY",2,15894,8,1802514301,198,13,544,0,60,F#,2020-03-27
"Ley Seca","ANUEL AA, JHAY CORTEZ",2,2012,0,355219175,101,12,38,0,0,G#,2021-09-02
L,STROMAE,1,2035,0,108809090,41,122,394,0,2,D,2022-01-09
"Lift Me Up  From Black Panther Wakanda Forever  Music From and Inspired By",RIHANNA,1,3311,0,297328960,129,31,212,1,41,A,2022-10-28
"Light Switch","CHARLIE PUTH",1,4049,0,500340342,119,6,85,1,1,F#,2022-01-19
"Like Crazy",JIMIN,1,596,68,363369738,8,104,23,2,29,G,2023-03-24
"Like Crazy (English Version)",JIMIN,1,373,19,173627354,4,72,5,0,5,G,2023-03-24
"Lilith (feat SUGA of BTS) (Diablo IV Anthem)","HALSEY, SUGA",2,215,6,51985779,6,14,8,2,4,A,2023-06-05
Limbo,"FREDDIE DREDD",1,688,0,199386237,14,1,17,0,2,B,2022-08-11
"Link Up (Metro Boomin  Don Toliver Wizkid feat BEAM  Toian)  SpiderVerse Remix (SpiderMan Across the SpiderVerse )","WIZKID, TOIAN, METRO BOOMIN, DON TOLIVER, BEAM",5,197,0,32761689,3,10,3,0,0,F,2023-06-02
"Little Freak","HARRY STYLES",1,2302,0,273194684,20,3,39,0,0,D#,2022-05-20
LLYLM,ROSAL,1,1838,0,124988687,105,41,114,1,59,F#,2023-01-27
"Lo Siento BB (with Bad Bunny  Julieta Venegas)","JULIETA VENEGAS, BAD BUNNY, TAINY",3,3423,26,775542072,61,65,53,6,0,E,2021-10-05
"Locked Out Of Heaven","BRUNO MARS",1,1622,9,1481349984,0,0,356,0,0,F,2012-12-05
LOKERA,"BRRAY, RAUW ALEJANDRO, LYANNO",3,3301,30,471819764,72,64,64,6,3,B,2022-07-25
"Los del Espacio","BIG ONE, DUKI, LIT KILLAH, MARIA BECERRA, FMK, RUSHERKING, EMILIA, TIAGO PZK",8,1150,31,123122413,22,33,34,7,184,NULL,2023-06-01
Lost,"FRANK OCEAN",1,29499,11,822239726,124,27,587,0,4,A#,2019-08-23
"Lost in the Fire","THE WEEKND, GESAFFELSTEIN",2,7731,2,686734357,110,145,447,0,46,D,2019-01-11
"Love Again","THE KID LAROI",1,1283,0,147538971,57,4,48,0,0,B,2023-01-27
"LOVE DIVE",IVE,1,753,8,305771063,28,124,13,0,1,C#,2022-04-05
"Love Language",SZA,1,1127,0,110849052,16,63,8,0,0,A,2022-12-09
"Love Of My Life","HARRY STYLES",1,1933,0,233671263,13,2,31,0,0,G,2022-05-20
Lover,"TAYLOR SWIFT",1,8448,23,882831184,160,110,163,0,5,G,2019-08-23
"Lovers Rock","TV GIRL",1,6339,13,466231982,3,1,36,1,37,F,2014-06-05
Lovezinho,TREYCE,1,242,0,70069745,12,2,13,0,4,E,2022-07-28
Low,SZA,1,1911,0,272377463,23,71,14,0,9,NULL,2022-12-09
LUNA,"JUNIOR H, PESO PLUMA",2,201,11,55842345,19,117,8,1,74,A,2023-06-22
"Maan Meri Jaan",KING,1,288,6,319566866,11,80,1,0,8,F#,2022-10-12
"Made You Look","MEGHAN TRAINOR",1,3956,6,502574952,142,23,127,3,16,A#,2022-10-21
"Major Distribution","DRAKE, 21 SAVAGE",2,1545,0,154863153,22,7,15,0,0,G#,2022-11-04
"Mal Feito  Ao Vivo","MARLIA MENDONA, HUGO  G",2,971,2,291709698,35,104,93,1,0,NULL,2022-01-14
"Malas Decisiones","KENIA OS",1,542,2,156214700,23,2,21,0,0,G#,2022-10-26
Malvada,"Z FE",1,601,0,154119539,28,73,64,0,0,F,2022-01-28
Malvad,"XAM, GUSTAH, NEO B",3,648,1,240684449,14,3,81,0,0,F#,2021-11-30
"Mami Chula","QUEVEDO, JHAYCO",2,875,4,61105704,17,13,27,0,43,G,2023-04-27
MAMIII,"KAROL G, BECKY G",2,6809,28,716591492,151,102,175,5,29,E,2022-02-10
"Man Made A Bar (feat Eric Church)","MORGAN WALLEN, ERIC CHURCH",2,329,0,58890931,14,35,1,0,0,E,2023-03-03
MANIAC,"STRAY KIDS",1,651,0,212234990,6,188,20,0,0,C#,2022-03-18
"Marisola  Remix","DUKI, NICKI NICOLE, CRIS MJ, STANDLY, STARS MUSIC CHILE",5,1845,16,223582566,20,8,30,2,0,C#,2022-12-15
Maroon,"TAYLOR SWIFT",1,2304,0,317726339,12,16,14,0,0,G,2022-10-21
"Mary On A Cross",GHOST,1,2668,2,387080183,38,266,78,0,141,B,2019-09-13
"Mas Rica Que Ayer","MAMBO KINGZ, DJ LUIAN, ANUEL AA",3,1208,34,146409671,10,41,20,0,1,B,2023-03-02
Massive,DRAKE,1,5263,0,195628667,66,89,61,0,11,E,2022-06-17
"Master of Puppets (Remastered)",METALLICA,1,6080,0,704171068,112,198,406,1,0,E,1986-03-03
Mastermind,"TAYLOR SWIFT",1,1936,0,218320587,7,5,13,0,0,E,2022-10-21
Matilda,"HARRY STYLES",1,3218,3,366214458,29,10,79,0,0,D,2022-05-20
"Me and Your Mama","CHILDISH GAMBINO",1,8775,0,445590495,33,60,107,1,0,F,2016-11-10
"Me Arrepent","AK420, CRIS MJ, PAILITA",3,273,2,118381354,12,2,4,0,0,NULL,2022-03-30
"Me Fui de Vacaciones","BAD BUNNY",1,1443,0,305650299,9,11,22,1,0,A#,2022-05-06
"Me Porto Bonito","CHENCHO CORLEONE, BAD BUNNY",2,8870,43,1440757818,104,120,141,26,49,C#,2022-05-06
Medallo,"JUSTIN QUILES, LENNY TAVREZ, BL",3,2780,2,393230256,54,21,57,1,0,E,2021-10-27
"Meet Me At Our Spot","THE ANXIETY, WILLOW, TYLER COLE",3,6734,0,530511203,47,14,90,0,1,D,2020-03-13
"Mejor Que Yo","MAMBO KINGZ, DJ LUIAN, ANUEL AA",3,675,1,50847624,9,13,11,0,1,C#,2023-05-04
MERCHO,"MIGRANTES, LIL CAKE, NICO VALDI",3,1267,20,231332117,41,22,56,4,84,F#,2022-12-16
"Merry Christmas","ED SHEERAN, ELTON JOHN",2,2209,0,135723538,72,90,141,0,0,NULL,2017-11-10
"Merry Christmas Everyone","SHAKIN STEVENS",1,1087,0,351636786,90,35,5,0,0,C#,1984-01-01
METAMORPHOSIS,INTERWORLD,1,1561,24,357580552,18,78,24,0,30,G,2021-11-25
"Mi Bello Angel","NATANAEL CANO",1,86,8,31873544,7,76,3,1,93,A,2023-06-30
"MIDDLE OF THE NIGHT","ELLEY DUH",1,4057,8,872137015,78,21,240,1,52,E,2020-01-10
"Midnight Rain","TAYLOR SWIFT",1,2612,4,433356509,19,29,21,0,0,NULL,2022-10-21
"MIENTRAS ME CURO DEL CORA","KAROL G",1,1020,35,206399629,15,26,30,6,0,NULL,2023-02-24
Min,"TINI, MARIA BECERRA",2,3406,16,596152090,61,23,70,1,0,D,2021-04-29
"Mine (Taylors Version)","TAYLOR SWIFT",1,99,15,36912123,21,52,6,1,0,G,2023-07-07
"Miracle (with Ellie Goulding)","CALVIN HARRIS, ELLIE GOULDING",2,5120,48,211050784,161,115,246,9,638,A,2023-03-10
Mirror,"KENDRICK LAMAR",1,1929,0,53603447,2,0,4,0,0,E,2022-05-13
"Miserable Man","DAVID KUSHNER",1,788,0,124407432,13,0,32,1,0,A#,2022-01-07
"Miss You","ROBIN SCHULZ, OLIVER TREE",2,5730,10,497225336,108,16,197,3,165,F#,2022-08-05
"Miss You",SOUTHSTAR,1,2020,0,154356956,77,10,119,0,40,A,1982-05-16
Mistletoe,"JUSTIN BIEBER",1,9577,0,629173063,195,111,310,0,0,F#,2011-01-01
"MOJABI GHOST","TAINY, BAD BUNNY",2,859,40,61245289,35,109,41,14,211,F#,2023-06-29
"Mon Amour  Remix","AITANA, ZZOILO",2,3221,2,578207856,67,13,139,0,40,D,2020-09-21
"Money Trees","KENDRICK LAMAR, JAY ROCK",2,26792,32,1093605526,69,113,695,0,458,E,2019-08-23
"Mony so",YEAT,1,1473,0,263779030,2,0,12,0,10,D,2021-09-10
Monoton,"OZUNA, SHAKIRA",2,3645,15,380726517,118,34,150,4,19,NULL,2022-10-19
Moonlight,"KALI UCHIS",1,2649,42,256483385,67,79,57,1,615,G,2023-02-24
MORE,JHOPE,1,565,0,155795783,6,52,11,0,0,D,2022-07-01
"Moscow Mule","BAD BUNNY",1,4572,33,909001996,74,113,85,9,2,F,2022-05-06
"Mother I Sober (feat Beth Gibbons of Portishead)","KENDRICK LAMAR, BETH GIBBONS",2,1890,0,33381454,3,0,2,0,0,G#,2022-05-13
"Mount Everest",LABRINTH,1,5443,0,467727006,45,1,80,0,12,NULL,2019-06-21
"Mr Morale","KENDRICK LAMAR, TANNA LEONE",2,1860,0,58687425,1,0,3,0,0,A,2022-05-13
Mu,"STEVE AOKI, TINI, LA JOAQUI",3,658,6,120972253,33,7,53,2,0,A#,2023-01-12
Mujeriego,"RYAN CASTRO",1,1492,0,231996128,44,63,91,0,24,A,2021-12-17
"Murder In My Mind",KORDHELL,1,2459,20,448843705,20,68,50,0,22,A#,2022-01-21
"Music For a Sushi Restaurant","HARRY STYLES",1,4449,1,334733572,80,11,66,0,1,B,2022-05-20
"My Mind  Me","SELENA GOMEZ",1,953,0,91473363,61,13,37,1,0,A,2022-11-03
"My Only Wish (This Year)","BRITNEY SPEARS",1,6952,0,261116938,115,53,286,0,0,NULL,2000-11-07
"My Universe","COLDPLAY, BTS",2,6127,13,1061966512,0,0,0,0,0,A,2021-09-24
N95,"KENDRICK LAMAR",1,5542,0,301242089,52,16,65,0,206,D#,2022-05-13
"Nail Tech","JACK HARLOW",1,2939,0,193443895,42,0,24,0,0,E,2022-02-18
"Never Felt So Alone",LABRINTH,1,1730,3,117747907,46,5,51,0,20,F,2023-04-07
Neverita,"BAD BUNNY",1,2590,30,671365962,20,64,35,6,0,A#,2022-05-06
"New Jeans",NEWJEANS,1,77,35,29562220,8,166,4,4,34,E,2023-07-07
"NEW MAGIC WAND","TYLER, THE CREATOR",2,4708,0,461437791,13,7,55,0,1,F,2019-05-16
"Niagara Falls (Foot or 2) with Travis Scott  21 Savage","TRAVIS SCOTT, 21 SAVAGE, METRO BOOMIN",3,1602,0,195516622,12,22,12,0,2,G,2022-12-02
"Nia Bo","SEAN PAUL, FEID",2,1305,34,115010040,29,26,43,5,44,G,2023-04-21
"No Role Modelz","J COLE",1,21164,36,1791000570,80,65,476,0,14,A#,2014-12-09
"No Se Va","GRUPO FRONTERA",1,924,18,404887295,17,80,22,9,38,NULL,2022-04-28
"Nobody Gets Me",SZA,1,2536,6,284908316,59,100,58,13,2,G,2022-12-09
"Nobody Like U  From Turning Red","JORDAN FISHER, JOSH LEVI, FINNEAS OCONNELL, 4TOWN FROM DISNEY AND PIXARS TURNING RED, TOPHER NGO, GRAYSON VILL",6,918,0,120847157,34,39,30,0,0,A,2022-02-25
Nonsense,"SABRINA CARPENTER",1,2346,27,342897938,69,12,38,8,64,G#,2022-07-15
Normal,FEID,1,2461,36,459276435,47,66,45,5,6,E,2022-07-08
"Nos Comemos (feat Ozuna)","OZUNA, TIAGO PZK",2,896,0,138334433,0,0,2,0,0,F#,2022-06-02
"Nosso Quadro","ANA CASTELA, AGROPLAY",2,894,9,233801632,14,88,66,3,72,A,2023-02-02
Nostl,"CHRIS BROWN, RVSSIAN, RAUW ALEJANDRO",3,2780,2,436695353,86,76,59,0,16,A,2021-09-08
"Notice Me",SZA,1,819,0,62019074,14,22,0,0,0,F,2022-12-09
Notion,"THE RARE OCCASIONS",1,2393,0,421135627,22,13,65,0,6,A,2016-08-05
"Novidade na ","MC LIVINHO, DJ MATT D",2,267,9,39709092,9,6,25,2,72,F,2023-06-23
"Novo Balan","VEIGH, BVGA BEATZ, SUPERNOVA ENT, PROD MALAX",4,283,7,81102253,6,9,26,1,66,D#,2023-05-19
Numb,"MARSHMELLO, KHALID",2,3879,2,295307001,107,76,86,1,9,NULL,2022-06-10
"Numb Little Bug","EM BEIHOLD",1,2026,0,258714692,47,3,42,12,6,G#,2022-01-28
Nxde,GIDLE,1,430,6,170709584,14,116,9,0,11,E,2022-10-17
OO,NMIXX,1,290,0,135444283,9,66,10,0,0,B,2022-02-22
Obsessed,"ABHIJAY SHARMA, RIAR SAAB",2,161,6,71007139,10,79,2,0,42,F,2022-09-29
"Oh My God",ADELE,1,4431,0,466214729,105,7,199,0,0,C#,2021-11-19
"Oi Balde  Ao Vivo","Z NETO  CRIST",1,845,2,145458418,12,57,47,1,33,D,2023-02-14
"Ojitos Lindos","BOMBA ESTREO, BAD B",2,6135,38,1133865788,71,113,99,13,28,D#,2022-05-06
"Ojos Marrones",LASSO,1,795,11,263280370,26,18,15,1,4,G#,2022-02-06
OMG,NEWJEANS,1,1783,27,430977451,26,124,15,1,22,A,2023-01-02
"On BS","DRAKE, 21 SAVAGE",2,1338,0,170413877,9,20,7,0,0,A,2022-11-04
"on the street (with J Cole)","JHOPE, J COLE",2,615,2,116599790,22,82,8,0,9,B,2023-03-03
"On Time (with John Legend)","JOHN LEGEND, METRO BOOMIN",2,398,0,78139948,2,2,6,0,2,F,2022-12-02
"One Right Now (with The Weeknd)","THE WEEKND, POST MALONE",2,4771,0,539595276,68,18,75,0,1,C#,2021-11-05
"One Thing At A Time","MORGAN WALLEN",1,811,4,148469433,11,58,5,0,21,G,2022-12-02
"Only Love Can Hurt Like This","PALOMA FAITH",1,5148,0,588955257,90,22,365,0,114,G#,2014-01-01
"Open Arms (feat Travis Scott)","SZA, TRAVIS SCOTT",2,1420,4,155653938,13,87,17,0,46,A,2022-12-08
"Otro Atardecer","BAD BUNNY, THE MAR",2,1681,7,319546754,10,30,13,0,33,D,2022-05-06
"OUT OUT (feat Charli XCX  Saweetie)","CHARLI XCX, JAX JONES, JOEL CORRY, SAWEETIE",4,6890,0,427486004,122,11,201,0,1,G#,2021-08-13
Overdrive,"POST MALONE",1,410,36,14780425,36,32,31,1,26,C#,2023-07-14
Pantysito,"FEID, ALEJO, ROBI",3,2995,0,273005485,49,17,30,0,0,G,2022-03-18
Party,"BAD BUNNY, RAUW ALEJANDRO",2,3185,4,614555082,38,64,37,3,36,A,2022-05-06
Pasoori,"SHAE GILL, ALI SETHI",2,349,6,284249832,10,22,3,0,0,B,2022-02-06
"Pass The Dutchie","MUSICAL YOUTH",1,5328,0,195918494,54,76,900,0,0,G,1982-01-01
"Paulo Londra Bzrp Music Sessions Vol 23","BIZARRAP, PAULO LONDRA",2,928,0,164163229,19,0,7,0,0,NULL,2022-04-25
"Peaches (from The Super Mario Bros Movie)","JACK BLACK",1,34,0,68216992,0,0,0,0,0,A#,2023-04-07
People,LIBIANCA,1,3506,56,373199958,105,64,169,8,529,A#,2022-12-02
"People Pt2 (feat IU)","IU, AGUST D",2,209,4,95816024,4,45,11,2,24,G,2023-04-07
"Permission to Dance",BTS,1,1801,2,608334048,77,134,74,0,2,A,2021-07-09
"PERO T","KAROL G, QUEVEDO",2,387,11,93438910,11,15,14,3,1,F#,2023-02-23
Peru,"ED SHEERAN, FIREBOY DML",2,2999,0,261286503,60,17,154,0,22,G,2021-12-23
"Peso Pluma Bzrp Music Sessions Vol 55","BIZARRAP, PESO PLUMA",2,1313,40,200647221,17,152,32,11,139,F,2023-05-31
"Phantom Regret by Jim","THE WEEKND",1,768,0,31959571,1,1,3,0,0,A,2022-01-07
"Phir Aur Kya Chahiye (From Zara Hatke Zara Bachke)","ARIJIT SINGH, SACHINJIGAR, AMITABHA BHATTACHARYA",3,178,6,64533040,6,71,1,0,31,E,2023-05-15
"Piman De","SEMICENK, DOU",2,185,3,43522589,5,6,4,1,33,A#,2023-06-02
"Pink  White","FRANK OCEAN",1,21574,30,806397070,112,68,266,1,39,A,2016-08-20
"Pink Venom",BLACKPINK,1,1963,16,551305895,57,119,77,1,13,NULL,2022-08-19
Pipoco,"MELODY, ANA CASTELA, DJ CHRIS NO BEAT",3,1112,4,191873381,22,2,65,1,3,G#,2022-05-20
"Plan A","PAULO LONDRA",1,1105,0,240661097,32,0,19,0,0,NULL,2022-03-23
"PLAYA DEL INGL","MYKE TOWERS, QUEVEDO",2,1701,15,221409663,30,15,34,2,47,G,2022-12-15
Players,"COI LERAY",1,4096,6,335074782,118,48,143,0,240,F#,2022-11-30
Poland,"LIL YACHTY",1,1584,0,115331792,38,0,24,0,0,F,2022-06-23
"POLARIS  Remix","FEID, MORA, SAIKO, QUEVEDO",4,773,33,57312735,20,46,21,8,99,G#,2023-06-08
"Polaroid Love",ENHYPEN,1,461,0,211372494,10,56,17,0,0,G,2022-01-10
POP,NAYEON,1,571,0,213505179,19,21,14,0,2,D,2022-06-24
"Pope Is a Rockstar",SALES,1,1966,0,156658366,4,2,50,0,0,E,2016-04-20
"Por las Noches","PESO PLUMA",1,457,24,330346424,8,116,4,3,2,NULL,2021-06-11
positions,"ARIANA GRANDE",1,8207,0,1252563873,175,55,95,0,2,NULL,2020-10-23
"Potion (with Dua Lipa  Young Thug)","CALVIN HARRIS, DUA LIPA, YOUNG THUG",3,3983,0,190625045,73,45,119,0,0,B,2022-05-27
"Praise God","KANYE WEST",1,4651,0,376333030,24,6,105,0,0,C#,2021-08-29
PRC,"NATANAEL CANO, PESO PLUMA",2,961,26,436027885,19,143,10,6,15,G,2023-01-23
"Primera Cita","CARIN LEON",1,266,27,77309611,6,40,6,6,202,A#,2022-04-20
"Princess Diana (with Nicki Minaj)","NICKI MINAJ, ICE SPICE",2,1444,4,104992946,0,0,0,0,0,A,2023-04-14
"Private Landing (feat Justin Bieber  Future)","DON TOLIVER, FUTURE, JUSTIN BIEBER",3,1190,0,105062254,29,3,18,0,19,C#,2023-02-23
"Privileged Rappers","DRAKE, 21 SAVAGE",2,1007,0,112436403,6,5,3,0,0,F,2022-11-04
